id,title,price,promo_price,url
3405644,Конструктор LEGO Star Wars Мандалорец и малыш 75317,2 149,,https://www.detmir.ru/product/index/id/3405644/
3890016,Конструктор LEGO Super Heroes Маска Бэтмена из классического сериала 76238,7 189,5 999,https://www.detmir.ru/product/index/id/3890016/
3597026,Конструктор LEGO Super Heroes Битва Капитана Америка с Гидрой 76189,1 069,,https://www.detmir.ru/product/index/id/3597026/
3498473,Конструктор LEGO Disney Princess Лодка Буна 43185,5 509,,https://www.detmir.ru/product/index/id/3498473/
3596971,Конструктор LEGO Super Mario Марио-пчела 71393,1 069,899,https://www.detmir.ru/product/index/id/3596971/
3181586,Конструктор LEGO Star Wars Спасение Люка на планете Хот 75203,3 589,,https://www.detmir.ru/product/index/id/3181586/
3226565,Конструктор LEGO DUPLO Town Киоск-пиццерия 10927,889,749,https://www.detmir.ru/product/index/id/3226565/
3142211,Конструктор LEGO Movie Падруженский Звездолёт Мими Катавасии 70830,6 349,,https://www.detmir.ru/product/index/id/3142211/
3244582,Конструктор LEGO Super Mario Марио-кот 71372,1 069,,https://www.detmir.ru/product/index/id/3244582/
3596968,Конструктор LEGO Super Mario Нокдаун резноров 71390,7 789,,https://www.detmir.ru/product/index/id/3596968/
619011,Конструктор LEGO Classic Набор для творчества среднего размера (10696),2 989,,https://www.detmir.ru/product/index/id/619011/
3596843,Конструктор LEGO Dots Брелок для сумки Единорог 41940,649,,https://www.detmir.ru/product/index/id/3596843/
3405566,Конструктор LEGO Dots Браслет Звёздное небо 41934,629,,https://www.detmir.ru/product/index/id/3405566/
3405629,Конструктор LEGO Ninjago Легендарные битвы: Зейн против Ниндроида 71731,949,,https://www.detmir.ru/product/index/id/3405629/
3498479,Конструктор LEGO Vidiyo Битбокс Любителя вечеринок Л.Л.А.М.А 43105,1 789,889,https://www.detmir.ru/product/index/id/3498479/
3988995,Конструктор LEGO Art Творческий проект Создаем вместе 21226,11 989,8 989,https://www.detmir.ru/product/index/id/3988995/
3334779,Конструктор LEGO Disney Princess Башня Рапунцель 43187,6 589,5 799,https://www.detmir.ru/product/index/id/3334779/
3156347,Конструктор LEGO 4+ Трюковое шоу Дюка Бубумса 10767,1 789,1 449,https://www.detmir.ru/product/index/id/3156347/
3405599,Конструктор LEGO Super Heroes Взлёт Домо 76156,9 589,,https://www.detmir.ru/product/index/id/3405599/
3599724,Конструктор LEGO VIDIYO Punk Pirate Ship (Корабль Пирата Панка) 43114,7 189,3 589,https://www.detmir.ru/product/index/id/3599724/
3226561,Конструктор LEGO DUPLO Princess Чаепитие у Эльзы и Олафа 10920,2 029,,https://www.detmir.ru/product/index/id/3226561/
3597054,Конструктор LEGO Jurassic World Побег барионикса на катере 76942,8 989,,https://www.detmir.ru/product/index/id/3597054/
3596970,Конструктор LEGO Super Mario Марио-лягушка 71392,1 069,659,https://www.detmir.ru/product/index/id/3596970/
3596890,Конструктор LEGO City Wildlife Спасательный вездеход для зверей 60300,889,799,https://www.detmir.ru/product/index/id/3596890/
3018899,Конструктор LEGO Синяя базовая пластина Classic (10714),709,432,https://www.detmir.ru/product/index/id/3018899/
3142205,Конструктор LEGO Movie Познакомьтесь с королевой Многоликой Прекрасной 70824,1 789,1 199,https://www.detmir.ru/product/index/id/3142205/
3244600,Конструктор LEGO Minecraft Набор для творчества 3.0 21161,8 989,,https://www.detmir.ru/product/index/id/3244600/
3596781,Конструктор LEGO Friends Лесной дом на колесах и парусная лодка 41681,5 389,,https://www.detmir.ru/product/index/id/3596781/
3597049,Конструктор LEGO Speed Champions Chevrolet Corvette C8.R Race Car and 1968 Chevrolet Corvette 76903,4 429,,https://www.detmir.ru/product/index/id/3597049/
3244549,Конструктор LEGO Super Heroes Халкбастер против агента А.И.М. 76164,4 429,,https://www.detmir.ru/product/index/id/3244549/
3156348,Конструктор LEGO 4+ Приключения Базза и Бо Пип на детской площадке 10768,2 629,2 199,https://www.detmir.ru/product/index/id/3156348/
3596972,Конструктор LEGO Ninjago Мотоцикл Кая 71734,949,799,https://www.detmir.ru/product/index/id/3596972/
